client_id,transaction_count,avg_daily_spend
86,4187,86.40343137254902
89,12884,115.0821390070922
104,7469,115.45913004214329
124,8811,65.83283071230342
161,14423,111.09512236286919
170,7726,117.7643277693475
180,6198,80.82434322033899
197,12274,177.80823162274618
206,5592,107.97030031201247
313,7514,78.51444223107569
320,4782,129.268687150838
331,5466,93.2240724522293
345,5469,90.19240920532182
397,9073,53.10795144157815
403,3998,99.51212877792379
438,4670,77.09362428001772
457,8801,192.07894424673782
473,6305,49.30420965058236
488,23990,448.90343271106155
517,6085,53.290405498281785
523,8578,224.24153519932148
570,9203,105.5460310218978
577,10453,101.06087641117053
580,16002,153.903350140056
596,3453,96.52479322033899
618,5425,54.89581729086454
642,5975,119.44767702312139
647,7940,62.72930721181147
716,13883,152.34918604651162
728,6967,81.92715689596747
731,3649,127.07994228751312
799,5462,102.34879681274901
837,6917,80.63097396009469
843,7064,91.09381823726746
897,2527,53.55576076555024
955,1997,57.97323004694835
962,6050,82.07067248273356
1002,3724,96.59801163918526
1012,3095,94.4099584569733
1082,6247,112.65831442974165
1180,10490,188.6001536312849
1210,8963,101.83969130305728
1239,10800,109.66181369704005
1243,8809,187.30910256410255
1298,6431,63.845965852025444
1313,14934,150.79896532438477
1366,7093,109.55213828425096
1397,9057,99.85182333631752
1421,3641,104.02978359908883
1428,15711,31.46214806505889
1439,9453,47.79007050528789
1446,5822,77.27461861174676
1458,5483,90.72945336522035
1471,7525,106.82199663299664
1479,6288,71.30563917897011
1494,3791,57.359835680751175
1531,7439,62.57147936507937
1555,2305,78.70559498956159
1564,8201,74.06912566593545
1619,5842,68.34117525773196
1623,8522,78.9111489625271
1744,4706,61.26753879310345
1752,16848,104.24946140552996
1770,8597,101.481403887689
1775,14726,317.42277210884356
1779,11111,97.30991024898668
1781,6740,64.65733402132783
1808,7261,81.97025680693069
1833,3673,136.72048234280794
1834,7886,91.10390251474696
1862,4457,98.31736134453782
