client_id,date_day,daily_spend,tx_count,unique_mcc,unique_merchants,online_ratio,chip_ratio,day_of_week,is_weekend,month,day_of_month
1428,2010-01-01,34.01,5,3,4,0.6,0.0,4,0,1,1
1428,2010-01-02,11.73,2,2,2,0.5,0.0,5,1,1,2
1428,2010-01-03,12.76,2,2,2,0.5,0.0,6,1,1,3
1428,2010-01-04,37.84,4,4,4,0.25,0.0,0,0,1,4
1428,2010-01-05,12.96,3,3,3,0.3333333333333333,0.0,1,0,1,5
1428,2010-01-06,24.029999999999998,4,3,4,0.25,0.0,2,0,1,6
1428,2010-01-07,69.73,4,4,4,0.25,0.0,3,0,1,7
1428,2010-01-08,34.37,5,3,4,0.2,0.0,4,0,1,8
1428,2010-01-09,55.25,3,3,3,0.3333333333333333,0.0,5,1,1,9
1428,2010-01-10,21.75,6,4,5,0.3333333333333333,0.0,6,1,1,10
1428,2010-01-11,26.04,6,3,5,0.16666666666666666,0.0,0,0,1,11
1428,2010-01-12,53.65,6,5,5,0.0,0.0,1,0,1,12
1428,2010-01-13,31.36,6,4,5,0.16666666666666666,0.0,2,0,1,13
1428,2010-01-14,36.550000000000004,5,4,4,0.2,0.0,3,0,1,14
1428,2010-01-15,62.519999999999996,7,4,5,0.2857142857142857,0.0,4,0,1,15
1428,2010-01-16,38.68,5,2,3,0.2,0.0,5,1,1,16
1428,2010-01-17,35.16,4,2,3,0.75,0.0,6,1,1,17
1428,2010-01-18,25.07,4,3,3,0.5,0.0,0,0,1,18
1428,2010-01-19,46.25,4,3,3,0.0,0.0,1,0,1,19
1428,2010-01-20,63.86,10,3,5,0.3,0.0,2,0,1,20
1428,2010-01-21,13.02,4,3,3,0.25,0.0,3,0,1,21
1428,2010-01-22,24.21,3,2,2,0.6666666666666666,0.0,4,0,1,22
1428,2010-01-23,11.92,4,2,2,0.25,0.0,5,1,1,23
1428,2010-01-24,23.53,4,3,4,0.25,0.0,6,1,1,24
1428,2010-01-25,36.92,6,3,3,0.5,0.0,0,0,1,25
1428,2010-01-26,16.580000000000002,3,3,3,0.0,0.0,1,0,1,26
1428,2010-01-27,28.189999999999998,2,2,2,0.5,0.0,2,0,1,27
1428,2010-01-28,34.980000000000004,4,1,3,0.75,0.0,3,0,1,28
1428,2010-01-29,48.24,5,3,3,0.2,0.0,4,0,1,29
1428,2010-01-30,34.589999999999996,6,2,3,0.16666666666666666,0.0,5,1,1,30
1428,2010-01-31,31.69,6,3,5,0.16666666666666666,0.0,6,1,1,31
1428,2010-02-01,62.230000000000004,7,5,6,0.2857142857142857,0.0,0,0,2,1
1428,2010-02-02,46.54,6,5,5,0.0,0.0,1,0,2,2
1428,2010-02-03,99.59,8,4,6,0.375,0.0,2,0,2,3
1428,2010-02-04,50.99999999999999,5,3,3,0.2,0.0,3,0,2,4
1428,2010-02-06,25.380000000000003,3,3,3,0.0,0.0,5,1,2,6
1428,2010-02-07,21.64,4,3,4,0.5,0.0,6,1,2,7
1428,2010-02-08,50.93,5,3,4,0.2,0.0,0,0,2,8
1428,2010-02-09,45.62,4,3,4,0.25,0.0,1,0,2,9
1428,2010-02-10,12.0,2,2,2,0.0,0.0,2,0,2,10
1428,2010-02-11,31.85,5,3,5,0.4,0.0,3,0,2,11
1428,2010-02-12,27.130000000000003,3,2,2,0.0,0.0,4,0,2,12
1428,2010-02-13,40.71,5,3,4,0.6,0.0,5,1,2,13
1428,2010-02-14,56.699999999999996,4,3,4,0.5,0.0,6,1,2,14
1428,2010-02-15,19.71,3,3,3,0.0,0.0,0,0,2,15
1428,2010-02-16,7.28,2,2,2,0.0,0.0,1,0,2,16
1428,2010-02-17,19.47,5,4,4,0.2,0.0,2,0,2,17
1428,2010-02-18,52.08,4,3,3,0.0,0.0,3,0,2,18
1428,2010-02-19,13.219999999999999,3,2,2,0.6666666666666666,0.0,4,0,2,19
1428,2010-02-20,26.44,5,3,3,0.2,0.0,5,1,2,20
1428,2010-02-21,27.68,4,3,3,0.0,0.0,6,1,2,21
1428,2010-02-22,45.86,4,4,4,0.25,0.0,0,0,2,22
1428,2010-02-23,14.03,3,3,3,0.3333333333333333,0.0,1,0,2,23
1428,2010-02-24,22.92,5,4,4,0.0,0.0,2,0,2,24
